Country,New Production Cost
Angola,46699761298
Antigua and Barbuda,68372160952
Argentina,96941784787
Armenia,24023627719
Australia,19965695984
Austria,6604061598
azerbaijan,560738499.1
Bangladesh,15067210647
Belarus,4468323742
Belize,46101861.89
Bhutan,3438570915
Bolivia,4862214428
Bosnia and Herzegovina,938170173.4
Brazil,2.02952E+11
brunei,388307311.5
Burundi,8761904025
Cambodia,2654831158
Canada,27040092643
Chad,204738176.4
Chile,643902245.3
China,1.98319E+11
Colombia,1467770611
Costa rica,209233227.5
Croatia,1150407631
Cuba,225472338.1
Cyprus,0
Democratic People's Republic of Korea,1591547522
Dominican,117750695
Egypt,4696389026
Finland,89482325.4
France,14708314349
Gambia,1492835044
Georgia,81982785.72
Ghana,1138078688
Guam,17339.8005
Guatemala,6724413.657
Guinea-Bissau,297778840.3
Guyana,212463819.8
Haiti,10520631780
Honduras,258637928.2
India,1.24502E+11
Iran,4070805297
Jamaica,4869505.606
Japan,3589934123
Jordan,11552295.81
kazakhstan,760125467.9
Kenya,1462510165
Kuwait,3654963.594
Lebanon,123178540.8
Liberia,53104154.62
Lithuania,0
Luxembourg,34330629.14
maldives,55757.14683
Mali,2039805617
Mauritania,52358258.25
Mexico,9757548171
Mongolia,78233844.56
myanmar,6184077430
namibia,1907935317
Netherlands,217286647.6
Nicaragua,228081799.5
Pakistan,10756082718
Papua New Guinea,5947318.5
Paraguay,13706325013
Peru,1458345930
Philippines,6324359508
Poland,3404491216
Portugal,310549985.9
Puerto Rico,74977.75779
Qatar,713475.7853
Republic of Korea,1374562672
Romania,9628373287
Russia,39209918198
Rwanda,13752462207
Sao Tome and Principe,657949.1816
Saudi Arabia,121145957.9
Senegal,245350650
Serbia,3779190073
Sierra leone,196363825.3
Slovenia,161485317.3
South Africa,6148478204
Spain,3897838847
Sri Lanka,713575488.1
Sudan,5374025.67
Switzerland,118433682.4
Syria,256165518.4
Togo,372921100.6
Turkey,6839297492
Uganda,1066987051
Ukraine,21924974948
United Arab emirates,3529839.293
United States,3.23708E+11
Uruguay,1818103459
venezuela,539389614.5
Viet Nam,11860289486
Zambia,350014828.4
Zimbabwe,501171855.2
